#type; CCU
#base; CCU 0x02001000
#irq; CCU_FERR 80
PLL_CPU_CTRL_REG;0x0000;PLL_CPU Control Register
SPI_BGR_REG;0x096C;SPI Bus Gating Reset Register
EMAC_25M_CLK_REG;0x0970;EMAC_25M Clock Register
EMAC_BGR_REG;0x097C;EMAC Bus Gating Reset Register
IRTX_CLK_REG;0x09C0;IRTX Clock Register
IRTX_BGR_REG;0x09CC;IRTX Bus Gating Reset Register
GPADC_BGR_REG;0x09EC;GPADC Bus Gating Reset Register
THS_BGR_REG;0x09FC;THS Bus Gating Reset Register
I2S1_CLK_REG;0x0A14;I2S1 Clock Register
I2S2_CLK_REG;0x0A18;I2S2 Clock Register
I2S2_ASRC_CLK_REG;0x0A1C;I2S2_ASRC Clock Register
I2S_BGR_REG;0x0A20;I2S Bus Gating Reset Register
OWA_TX_CLK_REG;0x0A24;OWA_TX Clock Register
OWA_RX_CLK_REG;0x0A28;OWA_RX Clock Register
OWA_BGR_REG;0x0A2C;OWA Bus Gating Reset Register
DMIC_CLK_REG;0x0A40;DMIC Clock Register
DMIC_BGR_REG;0x0A4C;DMIC Bus Gating Reset Register
AUDIO_CODEC_DAC_CLK_REG;0x0A50;AUDIO_CODEC_DAC Clock Register
AUDIO_CODEC_ADC_CLK_REG;0x0A54;AUDIO_CODEC_ADC Clock Register
AUDIO_CODEC_BGR_REG;0x0A5C;AUDIO_CODEC Bus Gating Reset Register
USB0_CLK_REG;0x0A70;USB0 Clock Register
USB1_CLK_REG;0x0A74;USB1 Clock Register
USB_BGR_REG;0x0A8C;USB Bus Gating Reset Register
DPSS_TOP_BGR_REG;0x0ABC;DPSS_TOP Bus Gating Reset Register
DSI_CLK_REG;0x0B24;DSI Clock Register
DSI_BGR_REG;0x0B4C;DSI Bus Gating Reset Register
TCONLCD_CLK_REG;0x0B60;TCONLCD Clock Register
TCONLCD_BGR_REG;0x0B7C;TCONLCD Bus Gating Reset Register
TCONTV_CLK_REG;0x0B80;TCONTV Clock Register
TCONTV_BGR_REG;0x0B9C;TCONTV Bus Gating Reset Register
LVDS_BGR_REG;0x0BAC;LVDS Bus Gating Reset Register
TVE_CLK_REG;0x0BB0;TVE Clock Register
TVE_BGR_REG;0x0BBC;TVE Bus Gating Reset Register
TVD_CLK_REG;0x0BC0;TVD Clock Register
TVD_BGR_REG;0x0BDC;TVD Bus Gating Reset Register
LEDC_CLK_REG;0x0BF0;LEDC Clock Register
LEDC_BGR_REG;0x0BFC;LEDC Bus Gating Reset Register
CSI_CLK_REG;0x0C04;CSI Clock Register
CSI_MASTER_CLK_REG;0x0C08;CSI Master Clock Register
CSI_BGR_REG;0x0C1C;CSI Bus Gating Reset Register
TPADC_CLK_REG;0x0C50;TPADC Clock Register
TPADC_BGR_REG;0x0C5C;TPADC Bus Gating Reset Register
DSP_CLK_REG;0x0C70;DSP Clock Register
DSP_BGR_REG;0x0C7C;DSP Bus Gating Reset Register
PLL_LOCK_DBG_CTRL_REG;0x0F04;PLL Lock Debug Control Register
FRE_DET_CTRL_REG;0x0F08;Frequency Detect Control Register
FRE_UP_LIM_REG;0x0F0C;Frequency Up Limit Register
FRE_DOWN_LIM_REG;0x0F10;Frequency Down Limit Register
CCU_FAN_GATE_REG;0x0F30;CCU FANOUT CLOCK GATE Register
CLK27M_FAN_REG;0x0F34;CLK27M FANOUT Register
PCLK_FAN_REG;0x0F38;PCLK FANOUT Register
CCU_FAN_REG;0x0F3C;CCU FANOUT Register
